Nation,CCode,Party,Value (Q9),Translation,Left,CenR,CLib/G,FarR,NI,Comm
Austria,1040,ÖVP,101,Austrian People's Party,,1,,,,
Austria,1040,SPÖ,102,Austrian Social Democratic Party,1,,,,,
Austria,1040,NEOS,103,NEOS - The New Austria and Liberal Forum,,,1,,,
Austria,1040,Die Grünen,104,The Greens,,,1,,,
Austria,1040,FPÖ,105,Austrian Freedom Party,,,,1,,
Austria,1040,Jetzt – Liste Pilz/ Europa,106,Alliance for the Future of Austria,,,1,,,
Austria,1040,KPÖ,107,Austrian Communist Party,,,,,,1
Austria,1040,Die Weißen,108,,,,,1,,
Austria,1040,FLÖ (Liste Dr. Schnell),109,,,,,1,,
Austria,1040,Liste Roland Düringer,110,,,,,,1,
Belgium,1056,Partij van de Arbeid – Parti du Travail de Belgique(PVDA/PTB),207,Workers Party of Belgium,,,,,,1
Belgium,1056,Christen-Democratisch en Vlaams (CD&V),201,Christian Democratic and Flemish Party,,1,,,,
Belgium,1056,Socialistische Partij – Anders (sp.a),204,Socialist Party Different,1,,,,,
Belgium,1056,Vlaamse Liberalen en Democraten(Open VLD),206,Open Flemish Liberals and Democrats,,1,,,,
Belgium,1056,Nieuw-Vlaamse Alliantie  (N-VA),203,New Flemish Alliance,,1,,,,
Belgium,1056,Groen,202,Green,,,1,,,
Belgium,1056,Vlaams Belang (VB),205,Flemish Interest,,,,1,,
Belgium,1056,Parti Socialiste (PS),208,Francophone Socialist Party,1,,,,,
Belgium,1056,Mouvement Réformateur (MR),209,Reform Movement,,1,,,,
Belgium,1056,Centre Démocrate Humaniste (cdH),210,Humanist Democratic Centre,,1,,,,
Belgium,1056,Ecologistes Confédérés pour l'Organisation de Luttes Originales (ECOLO),211,Ecologists,,,1,,,
Belgium,1056,Front National (FN),212,National Front (Belgium),,,,,,1
Belgium,1056,Parti du Travail de Belgique (PTB),213,Workers Party of Belgium,,,,,,1
Belgium,1056,Parti Populaire (PP),214,People's Party,,,,,,1
Bulgaria,1110,"????, ???????? ?? ?????????? ???????? ?? ???????? (????) ",301,Citzizens for European Development of Bulgaria (GERB),,1,,,,
Bulgaria,1110,???????? ?? ???????? (??),302,Coalition for Bulgaria (KB),1,,,,,
Bulgaria,1110,???????? ?? ????? ? ??????? (???),303,Movements for Rights and Freedoms (DPS),,,1,,,
Bulgaria,1110,???? – ????????? ?????????? ???????? (????),304,IMRO – Bulgarian National Movement,,,,1,,
Bulgaria,1110,???????????? ???????? (??),305,Democratic Bulgaria,,,1,,,
Bulgaria,1110,????,304,Will,,,,1,,
Bulgaria,1110,?????????? ???? ????? (?????),307,National Union Attack (ATAKA/ATA),,,,1,,
Bulgaria,1110,?????????? ????? ?? ???????? ?? ???????? (????),309,National Front for the Salvation of Bulgaria,,,,1,,
Bulgaria,1110,"????, ???????? ?? ?????????? ???????? ?? ???????? (????) ",310,Alternative for Bulgarian Revival,1,,,,,
Bulgaria,1110,???????? ?? ???????? (??),308,Reformist Bloc,,1,,,,
Bulgaria,1110,???????? ?? ????? ? ??????? (???),311,"Yes, Bulgaria!",,,1,,,
Bulgaria,1110,???? – ????????? ?????????? ???????? (????),312,"Democrats for Responsibility, Solidarity and Tolerance",,,1,,,
Bulgaria,1110,???????????? ???????? (??),313,Democrats for a Strong Bulgaria,,1,,,,
Croatia,1119,Socijaldemokratska partija Hrvatske (SDP),408,Social Democratic Party of Croatia,1,,,,,
Croatia,1119,Hrvatska demokratska zajednica (HDZ),402,Croation Democratic Union,,1,,,,
Croatia,1119,Živi zid,409,Human Shield,,,,,1,
Croatia,1119,MOST,407,Bridge of Independent Lists,,1,,,,
Croatia,1119,Bandi? Milan 365,401,Milan Bandic 365 -- The Party of Labour and Solidarity,1,,,,,
Croatia,1119,BRUNA ESIH - ZLATKO HASANBEGOVIC?: NEOVISNI ZA HRVATSKU + HRVATSKA STRANKA PRAVA,404,Coaltion of NHR (1191714) and HSP(1191713),,,,1,,
Croatia,1119,Hrvatski demokratski savez Slavonije i Barabnje (HDSSB),403,Croatian Democratic Assembly of Slavonia and Baranja,,1,,,,
Croatia,1119,Hrvatska stranka prava Ante Star?evi? (HSP AS) i koalicijski partneri,405,Croatian Party of Rights -- Dr. Ante Starcevic,,,,1,,
Croatia,1119,Istarski demokratski sabor (IDS) i koalicijski partneri,406,Istrian Democratic Assembly,,,1,,,
Cyprus,1196,"???? (?????????? ????? ??????????? ???? – ????????, ???? ????????)",501,Progressive Party of the Working People,,,,,,1
Cyprus,1196,???? (???????????? ??????????),502,Democratic Rally,,1,,,,
Cyprus,1196,???? (??????????? ?????),503,Democratic Party,1,,,,,
Cyprus,1196,???? (?????? ???????????????? ????),504,United Democratic Union of Centre,1,,,,,
Cyprus,1196,?????? ?????????,507,Ecological and Environmental Movement (Cyprus Green Party),,,1,,,
Cyprus,1196,????,505,National Popular Front,,,,1,,
Cyprus,1196,???????? ???????,508,Citizens' Alliance,1,,,,,
Cyprus,1196,??????????,506,Solidarity Movement,,1,,,,
Cyprus,1196,????? ??? ?? ???,509,Animal Party Cyprus,,,,,1,
Czechia,1203,K?es?anská a demokratická unie - ?eskoslovenská strana lidová  (KDU/CSL),601,Christian and Democratic Union / Czechoslovak People's Party,,1,,,,
Czechia,1203,?eská strana sociáln? demokratická  (CSSD),603,Czech Social Democratic Party,1,,,,,
Czechia,1203,Ob?anská demokratická strana  (ODS),604,Civic Democratic Party,,1,,,,
Czechia,1203,Komunistická strana Cech a Moravy  (KSCM),605,Communist Party of Bohemia and Moravia,,,,,,1
Czechia,1203,ANO2011 (ANO),606,ANO 2011,,,1,,,
Czechia,1203,Pirátská strana (Piráti),607,Czech Pirate Party,,,1,,,
Czechia,1203,Strana p?ímé demokracie Tomio Okamura (SPD),608,Freedom and Direct Democracy Tomio Okamura,,,,1,,
Czechia,1203,Tradice Odpov?dnost Prosperita 09  (TOP 09),602,"Tradition, Responsibility, Prosperity 09 (TOP 09)",,1,,,,
Czechia,1203,Starostové a nezávislí (STAN),609,Mayors and Independents,,,1,,,
Germany,1276,1 CDU/CSU,801,Christian Democratic Union / Christian Social Union,,1,,,,
Germany,1276,2 SPD,802,Sozialdemokratische Partei Deutschlands (SPD),1,,,,,
Germany,1276,3 FDP,803,Free Democratic Party,,,1,,,
Germany,1276,4 Die Grünen,804,Alliance 90 / The Greens,,,1,,,
Germany,1276,5 Die Linke,805,The Left,,,,,,1
Germany,1276,6 AFD,806,Alternative for Germany,,,,1,,
Germany,1276,7 Piraten,807,Pirates,,,1,,,
Germany,1276,NPD,808,National Democratic Party of Germany,,,,1,,
Germany,1276,Die Republikaner,809,The Republicans,,,,1,,
Denmark,1208,Socialdemokraterne,701,Social Democratic Party,1,,,,,
Denmark,1208,Venstre,702,Liberals,,1,,,,
Denmark,1208,Dansk Folkeparti ,703,Danish People's Party,,,,1,,
Denmark,1208,Radikale Venstre,704,Radical Party,,,1,,,
Denmark,1208,Socialistisk Folkeparti ,705,Socialist People's Party,1,,,,,
Denmark,1208,Enhedslisten,706,Red-Green Unity List,1,,,,,
Denmark,1208,Det Konservative Folkeparti,708,Conservative People's Party,,,1,,,
Denmark,1208,Liberal Alliance,707,Liberal Alliance,,1,,,,
Denmark,1208,Kristendemokraterne,709,,,1,,,,
Denmark,1208,Alternativet,710,,,,1,,,
Estonia,1233,Eesti Reformierakond (Reform),901,Estonian Reform Party,,1,,,,
Estonia,1233,Eesti Keskerakond (Kesk),902,Estonian Center Party,,,1,,,
Estonia,1233,Eesti Konservatiivne Rahvaerakond (EKRE),903,Conservative People's Party of Estonia,,,,1,,
Estonia,1233,Isamaa Erakond (Isamaa),904,Union for the Republic -- Res Publica,,1,,,,
Estonia,1233,Sotsiaaldemokraatlik Erakond (SDE),905,Social Democratic Party,1,,,,,
Estonia,1233,Erakond Eesti 200 (Eesti 200),906,Estonia 200,,,1,,,
Estonia,1233,Erakond Eestimaa Rohelised (Rohelised),907,Estonian Greens,,,1,,,
Estonia,1233,Elurikkuse Erakond (EE),908,Richness of Life,,,1,,,
Estonia,1233,Eestimaa Ühendatud Vasakpartei (EÜV),910,Estonian United People's Party,1,,,,,
Estonia,1233,Eesti Vabaerakond (EV),909,Free Party,,1,,,,
Finland,1246,Suomen Sosialidemokraattinen Puolue (SDP),1001,Finnish Social Democrats,1,,,,,
Finland,1246,Perussuomalaiset (Perus/PS),1002,True Finns,,,,1,,
Finland,1246,Kansallinen Kokoomus (KOK),1003,National Coalition,,1,,,,
Finland,1246,Suomen Keskusta (KESK),1004,Finnish Centre,,,1,,,
Finland,1246,Vihreä Liitto (VIHR),1005,Green Union,,,1,,,
Finland,1246,Vasemmistoliitto (VAS),1006,Left Wing Alliance,1,,,,,
Finland,1246,Suomen ruotsalainen kansanpuolue (RKP),1007,Swedish People's Party,,,1,,,
Finland,1246,Suomen Kristillisdemokraatit (KD),1008,Christian Democrats in Finland,,1,,,,
Finland,1246,Sininen tulevaisuus,1009,Blue Reform,,,,1,,
Finland,1246,Piraattipuolue (PIR),1010,Pirate Party of Finland,,,1,,,
Finland,1246,Seitsemän tähden liike (STL),1011,Seven Star Movement,,1,,,,
Finland,1246,Liberaalipuolue - Vapaus valita (LIBE),1012,Liberal Party – Freedom to Choose,,1,,,,
Finland,1246,Kansalaispuolue (KP),1013,People's Party,,,1,,,
Finland,1246,Feministinen puolue (FP),1014,Feminst Party,,,1,,,
Finland,1246,Suomen Kommunistinen Puolue (SKP),1015,Communist Party of Finland,,,,,,1
Finland,1246,Eläinoikeuspuolue (EOP),1016,EOP: Animal Justice Party of Finland,,,,,1,
Finland,1246,Itsenäisyyspuolue (IPU),1017,The Independence Party,,,,,1,
Finland,1246,Suomen Kansa Ensin (SKE),1018,Finnish People's Party,,,,1,,
Finland,1246,Kommunistinen Työväenpuolue - Rauhan ja Sosialismin puolesta (KTP),1019,Workers' Party of Finland,,,,,1,
France,1250,Les Républicains (LR),1111,The Republicans,,1,,,,
France,1250,Parti socialiste (PS),1104,Socialist Party,1,,,,,
France,1250,Rassemblement national (RN),1113,National Rally,,,,1,,
France,1250,Europe Ecologie - Les Verts (EELV),1107,Europe Ecology - The Greens,,,1,,,
France,1250,France insoumise (LFI),1103,Unbowed France,,,,,,1
France,1250,La République en Marche (LRM),1108,The Republic Onwards!,,,1,,,
