Nation,Party,Var,Value,Left,CenR,CLib/G,FarR,NI,Comm
Albania,Democratic Party,E181_EVS5,801,,1,,,,
Albania,Socialist Party,E181_EVS5,802,1,,,,,
Albania,Socialist Movement for Integration,E181_EVS5,803,1,,,,,
Albania,The Human Rights Union Party,E181_EVS5,804,,,1,,,
Albania,Christian Democrats,E181_EVS5,805,,1,,,,
Albania,Republican Party,E181_EVS5,806,,1,,,,
Albania,Social Democracy Party,E181_EVS5,807,1,,,,,
Albania,Movement of Legality Party,E181_EVS5,808,,,,1,,
Albania,National Front Party,E181_EVS5,809,,,,1,,
Albania,New Democrat Party,E181_EVS5,810,,1,,,,
Albania,Justice Integration and Unity Party,E181_EVS5,811,,1,,,,
Albania,Challenge for Albania,E181_EVS5,812,,,1,,,
Albania,Social Democratic Party,E181_EVS5,813,1,,,,,
Albania,Environmental Party,E181_EVS5,814,,,1,,,
Albania,Agrarian Environmentalist Party,E181_EVS5,817,,,1,,,
Albania,Communist Party of Albania,E181_EVS5,819,,,,,,1
Albania,People's Alliance Party,E181_EVS5,820,,,,,1,
Albania,Equal List,E181_EVS5,821,,,1,,,
Albania,Green Party,E181_EVS5,822,,,1,,,
Azerbaijan,New Azerbaijan Party,E181_EVS5,3101,,1,,,,
Azerbaijan,Musavat,E181_EVS5,3102,,,1,,,
Azerbaijan,Azerbaijan Democratic Party,E181_EVS5,3103,,1,,,,
Azerbaijan,Popular Front Party,E181_EVS5,3104,,1,,,,
Azerbaijan,Azerbaijan Liberal Party,E181_EVS5,3106,,,1,,,
Azerbaijan,Social-Democratic Party,E181_EVS5,3107,1,,,,,
Azerbaijan,Communist Party,E181_EVS5,3108,,,,,,1
Azerbaijan,Justice Party,E181_EVS5,3109,,,1,,,
Azerbaijan,Civic Solidarity Party,E181_EVS5,3110,,,,1,,
Azerbaijan,Motherland Party,E181_EVS5,3111,,,,1,,
Azerbaijan,Azerbaijan Party of Hope,E181_EVS5,3112,,1,,,,
Azerbaijan,Whole Azerbaijan Popular Front Party,E181_EVS5,3115,,,,1,,
Azerbaijan,Modern Musavat Party,E181_EVS5,3119,1,,,,,
Austria,SPÖ,E181_EVS5,4001,1,,,,,
Austria,ÖVP,E181_EVS5,4002,,1,,,,
Austria,FPÖ,E181_EVS5,4003,,,,1,,
Austria,Grüne,E181_EVS5,4004,,,1,,,
Austria,NEOS,E181_EVS5,4005,,,1,,,
Austria,PILZ,E181_EVS5,4006,,,1,,,
Armenia,Armenian Revolutionary Federation,E181_EVS5,5101,1,,,,,
Armenia,Armenian Communist Party,E181_EVS5,5102,,,,,,1
