Nation,Population
Albania,2837.34
Armenia,2963.23
Austria,8917.2
Belgium,11556
Bosnia,3280.82
Bulgaria,6934.02
Croatia,4047.2
Cyprus,1207.36
Czechia,10698.9
Denmark,5831.4
Estonia,1331.06
Finland,5530.72
France,67391.58
Georgia,3714
Germany,83240.52
Greece,10715.55
Hungary,9749.76
Iceland,366.43
Ireland,4994.72
Italy,59554.02
Latvia,1301.55
Lithuania,2794.7
Luxembourg,632.27
Macedonia,2072.53
Malta,525.28
Montenegro,621.31
Netherlands,17441.14
Norway,5379.48
Poland,37950.8
Portugal,10305.56
Romania,19286.12
Serbia,6908.22
Slovakia,5458.83
Slovenia,2100.13
Spain,47351.57
Sweden,10353.44
Switzerland,8636.9
UK,67215.59
Ukraine,44134.69
